ecosystem,model,dataset,repetition,phase,energy_j,duration_s,gpu_j,cpu_j,power_w
Python/PyTorch,resnet18,fashionmnist,3,Training,121733.94065799999,309.243422,104855.416,16878.524658,393.65086529795286
Python/PyTorch,resnet18,fashionmnist,4,Inference,7368.975382,28.809394,5729.096,1639.879382,255.78376907199086
Python/PyTorch,resnet18,fashionmnist,4,Training,122621.772734,310.316373,105255.601,17366.171734,395.1508312260404
Python/PyTorch,resnet18,tinyimagenet,0,Inference,10922.439409,44.296511,8408.927,2513.512409,246.5756142509734
Python/PyTorch,resnet18,tinyimagenet,0,Training,206698.725815,516.686648,176490.65,30208.075815,400.04657874379603
Python/PyTorch,resnet18,tinyimagenet,1,Inference,10655.932217,43.305654,8196.593,2459.339217,246.06330196514295
Python/PyTorch,resnet18,tinyimagenet,1,Training,206692.052754,516.179476,176489.118,30202.934754,400.4267166058342
Python/PyTorch,resnet18,tinyimagenet,2,Inference,10568.458203,43.51071,8128.719,2439.739203,242.89326014215808
Python/PyTorch,resnet18,tinyimagenet,2,Training,205811.876152,515.096777,175992.151,29819.725152,399.55962712614684
Python/PyTorch,resnet18,tinyimagenet,3,Inference,10628.032598,43.585011,8182.448,2445.584598,243.84604601797622
Python/PyTorch,resnet18,tinyimagenet,3,Training,205865.268031,515.332887,175969.588,29895.680031,399.48016752713085
Python/PyTorch,resnet18,tinyimagenet,4,Inference,10717.646762,43.818943,8253.16,2464.486762,244.58934945098974
Python/PyTorch,resnet18,tinyimagenet,4,Training,205970.43333200002,515.770921,176078.939,29891.494332,399.344796198776
Python/PyTorch,vgg16,cifar100,0,Inference,10382.694273000001,28.755212,8694.81,1687.8842730000001,361.0717345085128
Python/PyTorch,vgg16,cifar100,0,Training,157678.099928,403.292283,135561.704,22116.395928,390.9772305958059
Python/PyTorch,vgg16,cifar100,1,Inference,10290.092528000001,28.778604,8642.96,1647.132528,357.56051711194885
Python/PyTorch,vgg16,cifar100,1,Training,156907.053423,402.109936,135501.547,21405.506423,390.2093417134562
Python/PyTorch,vgg16,cifar100,2,Inference,10149.323547,28.475494,8533.638,1615.685547,356.42308951690177
Python/PyTorch,vgg16,cifar100,2,Training,156008.756927,401.560896,134817.926,21190.830927,388.5058492523137
Python/PyTorch,vgg16,cifar100,3,Inference,10369.899344,28.797644000000002,8701.335000000001,1668.564344,360.09540724928746
Python/PyTorch,vgg16,cifar100,3,Training,157283.04915500002,402.087926,135439.865,21843.184155,391.16580972640304
Python/PyTorch,vgg16,cifar100,4,Inference,10407.286018,28.962269,8750.247,1657.039018,359.33945707085314
Python/PyTorch,vgg16,cifar100,4,Training,156501.216143,401.898734,135070.082,21431.134143,389.40460096846186
Python/PyTorch,vgg16,fashionmnist,0,Inference,10304.81982,28.749042,8632.827,1671.99282,358.4404593377407
Python/PyTorch,vgg16,fashionmnist,0,Training,188944.573096,482.082623,162633.786,26310.787096,391.93400483966417
Python/PyTorch,vgg16,fashionmnist,1,Inference,10257.801465,28.361968,8609.566,1648.235465,361.6745306602137
Python/PyTorch,vgg16,fashionmnist,1,Training,188712.412288,481.680019,162614.487,26097.925288,391.77961477368234
Python/PyTorch,vgg16,fashionmnist,2,Inference,10316.995952000001,28.418552,8661.026,1655.969952,363.03735503483784
Python/PyTorch,vgg16,fashionmnist,2,Training,188924.139319,481.910257,162647.427,26276.712319,392.0317871943531
Python/PyTorch,vgg16,fashionmnist,3,Inference,10138.295299000001,28.476565,8508.929,1629.366299,356.0224099711465
Python/PyTorch,vgg16,fashionmnist,3,Training,187332.921203,480.330653,161739.327,25593.594203,390.0082579218612
Python/PyTorch,vgg16,fashionmnist,4,Inference,10315.747843,28.675171,8680.902,1634.845843,359.74494600224006
Python/PyTorch,vgg16,fashionmnist,4,Training,187609.846192,480.88777,162077.193,25532.653191999998,390.13228843811106
Python/PyTorch,vgg16,tinyimagenet,0,Inference,13686.154645999999,43.608688,11181.021,2505.133646,313.84009181840094
Python/PyTorch,vgg16,tinyimagenet,0,Training,317302.28388,803.664541,272267.439,45034.84488,394.81931538895657
Python/PyTorch,vgg16,tinyimagenet,1,Inference,13679.613173,43.679355,11113.283,2566.330173,313.1825818627587
Python/PyTorch,vgg16,tinyimagenet,1,Training,315049.012315,795.275178,269399.971,45649.041315,396.1509437617579
Python/PyTorch,vgg16,tinyimagenet,2,Inference,13348.873707,43.014335,10921.17,2427.703707,310.33546623468663
Python/PyTorch,vgg16,tinyimagenet,2,Training,315139.954442,800.968125,271139.918,44000.036442,393.44880851781716
Python/PyTorch,vgg16,tinyimagenet,3,Inference,13704.997778,43.543444,11182.833,2522.164778,314.7430822881167
Python/PyTorch,vgg16,tinyimagenet,3,Training,317789.656102,804.078801,272373.334,45416.322102,395.2220301129416
Python/PyTorch,vgg16,tinyimagenet,4,Inference,13706.308947,43.307213,11184.663,2521.645947,316.4902102335701
Python/PyTorch,vgg16,tinyimagenet,4,Training,317938.822638,802.797035,272457.725,45481.097638,396.0388601061537
Python/TensorFlow,resnet18,cifar100,0,Inference,1959.323094,9.820765,1387.995,571.328094,199.508194524561
Python/TensorFlow,resnet18,cifar100,0,Training,27784.850407,80.237482,23326.301,4458.549407,346.2826812910206
Python/TensorFlow,resnet18,cifar100,1,Inference,2006.6165720000001,9.909803,1415.307,591.309572,202.4880385614124
