model,dataset,phase,a,b,median_a_J,median_b_J,p_raw,p_holm,significant,cliffs_delta,magnitude
vgg16,fashionmnist,Inference,Python/PyTorch,Python/TensorFlow,10304.8,3829.0,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Inference,Python/PyTorch,R/torch,10304.8,70878.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Inference,Python/TensorFlow,R/torch,3829.0,70878.2,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Training,Cpp/LibTorch,Java/DL4J,175153.8,573426.4,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Training,Cpp/LibTorch,Python/JAX,175153.8,72384.1,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Training,Cpp/LibTorch,Python/PyTorch,175153.8,188712.4,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Training,Cpp/LibTorch,Python/TensorFlow,175153.8,111517.1,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Training,Cpp/LibTorch,R/torch,175153.8,335886.7,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Training,Java/DL4J,Python/JAX,573426.4,72384.1,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Training,Java/DL4J,Python/PyTorch,573426.4,188712.4,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Training,Java/DL4J,Python/TensorFlow,573426.4,111517.1,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Training,Java/DL4J,R/torch,573426.4,335886.7,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Training,Python/JAX,Python/PyTorch,72384.1,188712.4,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Training,Python/JAX,Python/TensorFlow,72384.1,111517.1,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Training,Python/JAX,R/torch,72384.1,335886.7,0.007936507936507936,0.11904761904761904,False,-1.0,large
vgg16,fashionmnist,Training,Python/PyTorch,Python/TensorFlow,188712.4,111517.1,0.007936507936507936,0.11904761904761904,False,1.0,large
vgg16,fashionmnist,Training,Python/PyTorch,R/torch,188712.4,335886.7,0.007936507936507936,0.11904761904761904,False,-1.0,large
